,CNV,DME,DRUSEN,ALL
reconst_score,0.9299714285714286,0.8974,0.7748,0.8673904761904762
KL_score,0.5588571428571429,0.508,0.4787714285714286,0.5152095238095238
vae_score,0.9243714285714287,0.8890857142857143,0.7642857142857142,0.859247619047619
iwae_reconst_score,0.9313714285714286,0.8997714285714286,0.7773428571428571,0.8694952380952381
iwae_KL_score,0.554,0.5064285714285713,0.47302857142857146,0.511152380952381
iwae_score,0.9262857142857143,0.8927142857142857,0.7681142857142856,0.8623714285714286
