Epoch: [0][320/789]	Time 0.276 (0.274)	Data 0.000 (0.001)	reconst_logp -573.9196 (-2133.6524)	kl 1680.1799 (25147212826.0846)	Loss 590.7214 (251474238.5276)
Epoch: [0][330/789]	Time 0.275 (0.274)	Data 0.000 (0.001)	reconst_logp -545.5459 (-2087.1481)	kl 1537.9993 (24387478343.9775)	Loss 560.9259 (243876847.9088)
Epoch: [0][340/789]	Time 0.277 (0.274)	Data 0.000 (0.001)	reconst_logp -743.8074 (-2045.2141)	kl 1436.2872 (23672303067.4226)	Loss 758.1703 (236725053.8743)
Epoch: [0][350/789]	Time 0.272 (0.274)	Data 0.000 (0.001)	reconst_logp -627.8851 (-2003.7683)	kl 1442.6440 (22997878520.3254)	Loss 642.3115 (229980767.5848)
Epoch: [0][360/789]	Time 0.276 (0.274)	Data 0.000 (0.001)	reconst_logp -533.7852 (-1963.8748)	kl 1461.5519 (22360818215.0671)	Loss 548.4008 (223610125.2311)
Epoch: [0][370/789]	Time 0.276 (0.274)	Data 0.000 (0.001)	reconst_logp -567.2550 (-1927.5980)	kl 1470.8011 (21758100782.1836)	Loss 581.9630 (217582915.1860)
Epoch: [0][380/789]	Time 0.276 (0.274)	Data 0.000 (0.001)	reconst_logp -506.5008 (-1892.8588)	kl 1568.6697 (21187022061.6078)	Loss 522.1875 (211872093.7721)
Epoch: [0][390/789]	Time 0.275 (0.274)	Data 0.000 (0.001)	reconst_logp -471.0899 (-1858.7829)	kl 1413.9561 (20645154529.6959)	Loss 485.2294 (206453384.8809)
Epoch: [0][400/789]	Time 0.276 (0.274)	Data 0.000 (0.001)	reconst_logp -452.2087 (-1826.0989)	kl 1441.7638 (20130312806.9554)	Loss 466.6264 (201304935.4483)
Epoch: [0][410/789]	Time 0.276 (0.274)	Data 0.000 (0.001)	reconst_logp -436.2194 (-1794.2904)	kl 1500.0945 (19640524209.5713)	Loss 451.2204 (196407018.1215)
