,CNV,DME,DRUSEN,ALL
reconst_score,0.9915142857142857,0.9720857142857142,0.9624285714285715,0.9753428571428571
KL_score,0.6878,0.5905142857142858,0.5946571428571429,0.6243238095238096
vae_score,0.9896857142857143,0.9652285714285715,0.9544285714285714,0.9697809523809524
iwae_reconst_score,0.9917714285714286,0.9715428571428572,0.9624,0.9752380952380952
iwae_KL_score,0.6804571428571429,0.5877714285714285,0.5932285714285714,0.6204857142857142
iwae_score,0.9900857142857142,0.9657714285714286,0.9563714285714287,0.9707428571428571
