,CNV,DME,DRUSEN,ALL
reconst_score,0.9491496527683211,0.8789270745815259,0.805895750830621,0.9577680208279788
KL_score,0.31461190792752103,0.25449627268628683,0.247903416707644,0.518688001062319
vae_score,0.94016532697848,0.8579748398097763,0.7752178759609234,0.9496657437769711
iwae_reconst_score,0.9517641672962452,0.8776900991210401,0.806445463438973,0.9581755448927984
iwae_KL_score,0.30823823587748544,0.2551493577746844,0.2469237061961948,0.5163362950208874
iwae_score,0.9437329348112605,0.8627962994166151,0.7843730891261151,0.9518813817418903
